Q0K793	H16_A3053
A0A4V1ABS6	HPF_14935
A0A4P6WTQ4	HPF_03870
A0A4V1ABI1	HPF_10120
A0A4P6X4N0	HPF_17570
A0A4P6X1N3	HPF_07845
A0A4P6X259	HPF_21175
A0A4P6WXV6	HPF_05935
A0A4P6X398	HPF_11130
A0A4V1ABD2	HPF_07655
A0A4P6X9W6	HPF_22950
A0A4P6X5J1	HPF_15040
A0A4P6WYA3	HPF_13325
A0A4P6WXW9	HPF_00830
A0A4P6X4F7	HPF_18725
A0A4P6WRS9	HPF_02285
A0A4P6WYM6	HPF_06200
A0A4P6X506	HPF_18680
A0A4P6WVQ5	HPF_09815
A0A4P6X6K0	HPF_20765
A0A4P6WY03	HPF_00595
A0A4P6WV41	HPF_00100
A0A4V1ABU8	HPF_16090
A0A4P6X7D6	HPF_18455
A0A4P6WWQ5	HPF_03460
A0A4P6WYT4	HPF_06505
A0A4P6WRW2	HPF_02440
A0A4P6X522	HPF_14315
A0A4P6WS71	HPF_00775
A0A4V1ABG0	HPF_09055
A0A4P6X3K9	HPF_17205
A0A4P6WWW1	HPF_12350
A0A4P6X175	HPF_11265
A0A4P6WXG8	HPF_13500
A0A4P6X8J6	HPF_20780
A0A4P6X929	HPF_21880
A0A4V1ABF3	HPF_08705
A0A4P6X2U4	HPF_09775
A0A4V1ABH3	HPF_09720
A0A4V1AB15	HPF_01740
A0A4P6WZJ0	HPF_04045
A0A4P6X1B5	HPF_06750
A0A4P6WZF6	HPF_07830
A0A4P6X1T5	HPF_07710
A0A4V1ABM1	HPF_12155
A0A4P6X0B0	HPF_17765
A0A4V1ABL2	HPF_11690
A0A4P6WYU0	HPF_02535
A0A4P6X2Z5	HPF_17575
A0A4P6X373	HPF_15175
A0A4P6X706	HPF_17785
A0A4P6WTJ5	HPF_03520
A0A4P6X281	HPF_14535
A0A4P6WWG8	HPF_02955
A0A4P6X094	HPF_19730
A0A4P6WZH0	HPF_16160
A0A4P6X678	HPF_16095
A0A4P6WYN8	HPF_16285
A0A4P6WYX8	HPF_14800
A0A4P6WWQ0	HPF_02820
A0A4P6WXN0	HPF_06460
A0A4P6WZ78	HPF_07375
A0A4P6X1U0	HPF_12280
A0A4P6X5N9	HPF_20050
A0A4P6X1H5	HPF_19720
A0A4V1AB31	HPF_02545
A0A4P6WYI2	HPF_07160
A0A4P6X7C4	HPF_22315
A0A4P6WXI8	HPF_05690
A0A4P6X5V6	HPF_19810
A0A4P6WSM2	HPF_03645
A0A4P6X2Z0	HPF_10075
A0A4P6WWM1	HPF_02670
A0A4P6WXM9	HPF_11965
A0A4P6X225	HPF_20975
A0A4P6WZS2	HPF_04550
A0A4V1ABK7	HPF_11440
A0A4P6X4M6	HPF_18060
A0A4P6X156	HPF_18955
A0A4P6X1S6	HPF_12520
A0A4P6X792	HPF_18185
A0A4P6WYL6	HPF_13650
A0A4P6WZ09	HPF_02195
A0A4P6X2R4	HPF_09565
A0A4P6X206	HPF_15715
A0A4P6WRZ6	HPF_00375
A0A4P6X4W1	HPF_13775
A0A4P6X2V9	HPF_22475
A0A4P6WVX0	HPF_01850
A0A4P6WVJ4	HPF_07575
A0A4P6X325	HPF_22775
A0A4V1AC21	HPF_19785
A0A4P6WV51	HPF_01670
A0A4P6WX16	HPF_12650
A0A4P6X4B0	HPF_18425
A0A4P6X6Q6	HPF_17050
A0A4P6WWW0	HPF_04900
A0A4P6X422	HPF_19765
A0A4P6X0H7	HPF_18115
A0A4P6WZ56	HPF_15380
A0A4P6WYY2	HPF_02045
A0A4P6WXC0	HPF_05340
A0A4P6WX54	HPF_05035
A0A4P6X430	HPF_19815
A0A4P6WTT6	HPF_06020
A0A4P6WY25	HPF_01130
A0A4P6WS47	HPF_02840
A0A4P6WY35	HPF_05150
A0A4P6WZP4	HPF_09370
A0A4V1AB01	HPF_01040
A0A4P6WVS9	HPF_10015
A0A4P6WXY2	HPF_12390
A0A4P6X454	HPF_12845
A0A4P6X4J0	HPF_20870
A0A4P6X262	HPF_14435
A0A4P6X5G7	HPF_14940
A0A4P6WV05	HPF_01405
A0A4P6X3K7	HPF_18695
A0A4P6WVK3	HPF_07625
A0A4P6WZR8	HPF_16765
A0A4P6X360	HPF_10490
A0A4P6X4Y8	HPF_18580
A0A4P6WVX2	HPF_10315
A0A4P6X2P4	HPF_09465
A0A4P6X7H0	HPF_18605
A0A4V1ABI3	HPF_10220
A0A4P6X4X8	HPF_21770
A0A4P6WYB3	HPF_06810
A0A4P6X3J2	HPF_18595
A0A4P6WZ76	HPF_17590
A0A4P6WWJ7	HPF_04020
A0A4P6X4R1	HPF_19385
A0A4P6X0K4	HPF_06165
A0A4P6WXJ6	HPF_13710
A0A4P6WV77	HPF_06515
A0A4P6WU57	HPF_06690
A0A4P6WVC4	HPF_02120
A0A4P6X860	HPF_20025
A0A4V1ABA9	HPF_06480
A0A4P6WV34	HPF_01555
A0A4P6WY33	HPF_07380
A0A4V1AC09	HPF_19170
A0A4P6WYV2	HPF_09085
A0A4P6WYI8	HPF_13890
A0A4P6WW05	HPF_10530
A0A4V1ABB8	HPF_06945
A0A4P6X3S3	HPF_11695
A0A4P6WYB2	HPF_01195
A0A4P6WY80	HPF_15255
A0A4P6X625	HPF_20855
A0A4P6WV63	HPF_06410
A0A4P6WYN7	HPF_08635
A0A4P6X4N9	HPF_18110
A0A4P6X0M5	HPF_12785
A0A4P6WX37	HPF_04265
A0A4P6X257	HPF_08310
A0A4P6WZQ6	HPF_03355
A0A4P6X5H5	HPF_15100
A0A4P6WV32	HPF_01570
A0A4P6X4U2	HPF_13860
A0A4P6X5L6	HPF_19245
A0A4P6X0L2	HPF_11150
A0A4P6X473	HPF_12945
A0A4P6WVJ8	HPF_02105
A0A4P6WVA7	HPF_00500
A0A4P6WZR3	HPF_08770
A0A4P6WYV6	HPF_16790
A0A4P6X088	HPF_05515
A0A4P6WXT9	HPF_05890
A0A4P6X3F7	HPF_18395
A0A4P6X1E4	HPF_14355
A0A4P6X978	HPF_22180
A0A4P6WT27	HPF_02175
A0A4P6WU17	HPF_04580
A0A4P6WY38	HPF_14980
A0A4P6X5T1	HPF_23325
A0A4P6WX21	HPF_10705
A0A4P6X0N8	HPF_18030
A0A4P6X3I4	HPF_15485
A0A4P6X057	HPF_10280
A0A4P6X5K7	HPF_19195
A0A4P6WWI0	HPF_09580
A0A4P6X4Q5	HPF_19330
A0A4P6WUY5	HPF_06345
A0A4P6WS34	HPF_00575
A0A4P6WWE7	HPF_03715
A0A4P6X048	HPF_16980
A0A4V1ABG1	HPF_09105
A0A4V1ABY4	HPF_17895
A0A4V1ABW4	HPF_16895
A0A4P6WSY3	HPF_01925
A0A4P6X4X1	HPF_13825
A0A4P6WV60	HPF_01705
A0A4P6X1Q9	HPF_22685
A0A4P6WZD4	HPF_15905
A0A4P6WZ99	HPF_10000
A0A4P6X4Q2	HPF_13605
A0A4P6X0H0	HPF_20185
A0A4P6WZB7	HPF_15805
A0A4P6X2K7	HPF_13835
A0A4P6WTJ6	HPF_03135
A0A4P6WY96	HPF_12990
A0A4P6WXD7	HPF_05440
A0A4V1ABT9	HPF_15635
A0A4P6WZ06	HPF_07915
A0A4P6X0Z0	HPF_19190
A0A4V1ABF0	HPF_08555
A0A4P6X1T2	HPF_15240
A0A4P6X527	HPF_22070
A0A4P6X817	HPF_19325
A0A4P6WU76	HPF_04495
A0A4P6X1J9	HPF_11815
A0A4P6X888	HPF_19740
A0A4P6WX71	HPF_04470
A0A4P6X852	HPF_19535
A0A4P6X1V2	HPF_21060
A0A4P6WX34	HPF_05305
A0A4V1AC55	HPF_21520
A0A4P6X1D8	HPF_11565
A0A4P6X9U1	HPF_22850
A0A4V1ABK4	HPF_11290
A0A4P6WSV6	HPF_04200
A0A4P6WZI0	HPF_08965
A0A4P6X2I1	HPF_15170
A0A4P6WWJ3	HPF_03110
A0A4P6X1X3	HPF_13880
A0A4P6X4A0	HPF_20270
A0A4P6X0W9	HPF_06785
A0A4P6X735	HPF_21815
A0A4P6X1N2	HPF_22535
A0A4P6WXB9	HPF_11260
A0A4P6WUS2	HPF_00920
A0A4P6X0W3	HPF_10950
A0A4P6WXU9	HPF_05940
A0A4P6WZ16	HPF_14665
A0A4P6WZA1	HPF_07530
A0A4P6WZT3	HPF_09570
A0A4P6WX84	HPF_11055
A0A4P6X0X6	HPF_20985
A0A4P6X2Y4	HPF_23315
A0A4P6X6B1	HPF_16485
A0A4P6X7N2	HPF_22920
A0A4P6WWL5	HPF_09445
A0A4P6X002	HPF_09980
A0A4P6X3C7	HPF_10890
A0A4P6WRW7	HPF_00410
A0A4V1AC49	HPF_21190
A0A4P6X7M2	HPF_22870
A0A4P6X4Y4	HPF_14110
A0A4P6WVZ7	HPF_02000
A0A4P6WXG9	HPF_11275
A0A4P6WZG2	HPF_15620
A0A4P6X9D9	HPF_22045
A0A4P6X0A7	HPF_04565
A0A4P6WYW6	HPF_01945
A0A4P6X2G2	HPF_13580
A0A4P6X174	HPF_06985
A0A4P6WZ54	HPF_07225
A0A4P6X5D5	HPF_22570
A0A4P6X7E9	HPF_22465
A0A4P6WX20	HPF_10470
A0A4P6X2A3	HPF_22060
A0A4V1ABK2	HPF_11190
A0A4P6WY19	HPF_05045
A0A4P6WZA3	HPF_08220
A0A4P6X8P8	HPF_20695
A0A4P6WX69	HPF_12950
A0A4V1ABM7	HPF_12455
A0A4V1AC65	HPF_22040
A0A4P6X1G4	HPF_20260
A0A4P6WVP9	HPF_07590
A0A4P6WTW4	HPF_06170
A0A4P6WXJ8	HPF_05235
A0A4P6X4K3	HPF_20970
A0A4V1AB61	HPF_04055
A0A4P6X1W8	HPF_21160
A0A4P6WZM8	HPF_08570
A0A4P6WWP1	HPF_09645
A0A4P6X3E2	HPF_16905
A0A4P6X543	HPF_22170
A0A4P6X5W4	HPF_20505
A0A4P6X4V0	HPF_13910
A0A4P6X1A6	HPF_12615
A0A4V1ABV2	HPF_16290
A0A4P6WY02	HPF_04945
A0A4P6X128	HPF_12165
A0A4P6WW24	HPF_02150
A0A4P6X062	HPF_17515
A0A4P6WY71	HPF_01380
A0A4P6WU28	HPF_04190
A0A4P6X1S1	HPF_08045
A0A4P6X4M5	HPF_13445
A0A4P6WY92	HPF_05450
A0A4P6WTE6	HPF_03220
A0A4P6WZV6	HPF_09730
A0A4P6WSR6	HPF_03895
A0A4P6X0G7	HPF_05965
A0A4P6X6C5	HPF_22750
A0A4P6X5K9	HPF_21100
A0A4P6WV65	HPF_00250
A0A4V1ABM5	HPF_12355
A0A4P6WYI9	HPF_07260
A0A4P6WVM6	HPF_02725
A0A4P6X4E6	HPF_12860
A0A4P6WYE2	HPF_05750
A0A4V1ABX4	HPF_17395
A0A4P6X1T0	HPF_08095
A0A4P6WZQ4	HPF_18610
A0A4P6WRN4	HPF_02035
A0A4P6WST6	HPF_02060
A0A4P6WXV7	HPF_12475
A0A4P6X306	HPF_14400
A0A4P6X135	HPF_12215
A0A4P6WTR3	HPF_03925
A0A4P6X798	HPF_23160
A0A4P6WXH0	HPF_05030
A0A4P6WYN2	HPF_02180
A0A4P6WYP4	HPF_07615
A0A4P6WWF7	HPF_11485
A0A4P6WYK0	HPF_13540
A0A4P6WZG3	HPF_18090
A0A4P6X1C1	HPF_07240
A0A4P6WUF4	HPF_05345
A0A4P6WY78	HPF_12890
A0A4P6X2J0	HPF_13735
A0A4P6WYC6	HPF_07935
A0A4P6X394	HPF_15325
A0A4P6WZP2	HPF_08280
A0A4P6WXR7	HPF_12225
A0A4P6WZ84	HPF_17640
A0A4V1ABU4	HPF_15885
A0A4P6X074	HPF_09230
A0A4P6X3C2	HPF_11280
A0A4P6WR95	HPF_01335
A0A4P6X753	HPF_21915
A0A4P6WXF6	HPF_04930
A0A4P6X3I0	HPF_15900
A0A4P6WT30	HPF_04605
A0A4P6WY01	HPF_06185
A0A4P6WYX5	HPF_16940
A0A4P6WYD0	HPF_01680
A0A4P6X0D5	HPF_09585
A0A4P6WVG2	HPF_00615
A0A4P6X2S3	HPF_09615
A0A4P6WZD1	HPF_17890
A0A4P6WQS4	HPF_00435
A0A4P6WYC7	HPF_05650
A0A4P6X2K3	HPF_09710
A0A4P6WYF6	HPF_07055
A0A4P6WX93	HPF_11110
A0A4P6X1B8	HPF_11755
A0A4V1ABR0	HPF_14120
A0A4V1AB09	HPF_01440
A0A4P6X0G1	HPF_09745
A0A4V1AAY4	HPF_00190
A0A4P6WZ83	HPF_02550
A0A4P6WVY3	HPF_01265
A0A4V1ABP1	HPF_13155
A0A4P6X246	HPF_08745
A0A4P6WR64	HPF_01185
A0A4P6X386	HPF_15275
A0A4P6WXW8	HPF_06040
A0A4P6X143	HPF_12265
A0A4P6X023	HPF_04060
A0A4P6WT76	HPF_02865
A0A4P6WWG2	HPF_03815
A0A4P6WWG7	HPF_11535
A0A4P6X1D9	HPF_06900
A0A4P6X5L4	HPF_15165
A0A4P6WYF2	HPF_08085
A0A4P6WYQ7	HPF_13905
A0A4P6WV46	HPF_08550
A0A4P6WVV4	HPF_01750
A0A4P6X429	HPF_16570
A0A4P6X4R7	HPF_17720
A0A4P6WUD7	HPF_00170
A0A4P6WW54	HPF_10830
A0A4P6WV99	HPF_00265
A0A4P6WW40	HPF_08725
A0A4P6X0J8	HPF_20335
A0A4P6X3T5	HPF_17555
A0A4P6X4K7	HPF_17960
A0A4P6WVF5	HPF_07030
A0A4P6WVV0	HPF_08175
A0A4P6WSI1	HPF_01410
A0A4P6WVJ1	HPF_07235
A0A4P6WX67	HPF_10955
A0A4P6X0Q2	HPF_11400
A0A4P6X0N4	HPF_12835
A0A4P6WV17	HPF_08350
A0A4P6X785	HPF_18135
A0A4P6X7G5	HPF_22615
A0A4P6X7S8	HPF_18820
A0A4V1ABP4	HPF_13305
A0A4P6WWR4	HPF_04640
A0A4P6WRS1	HPF_02235
A0A4P6WYF7	HPF_15730
A0A4P6WTV5	HPF_06120
A0A4P6X5S0	HPF_19610
A0A4P6WZ00	HPF_07865
A0A4V1ABG6	HPF_09360
A0A4P6WVV2	HPF_07840
A0A4P6WVU9	HPF_03130
A0A4P6X1X8	HPF_20675
A0A4P6X6L8	HPF_23255
A0A4P6WWZ8	HPF_10555
A0A4P6WTV6	HPF_03785
A0A4V1ABF1	HPF_08605
A0A4P6X200	HPF_12580
A0A4P6WZZ3	HPF_08830
A0A4P6X0N1	HPF_18435
A0A4P6WXB8	HPF_04725
A0A4P6X6B8	HPF_20315
A0A4P6WVQ7	HPF_07925
A0A4P6WVR1	HPF_02925
A0A4P6X1L5	HPF_22435
A0A4P6X440	HPF_18055
A0A4P6WVK5	HPF_02625
A0A4P6WYJ3	HPF_13940
A0A4P6WZD5	HPF_03690
A0A4P6WZT7	HPF_16375
A0A4P6WZ11	HPF_17190
A0A4V1ABA2	HPF_06125
A0A4P6X5D6	HPF_14785
A0A4P6X1F3	HPF_14405
A0A4V1AC61	HPF_21840
A0A4P6X0Z6	HPF_11955
A0A4P6X9Q8	HPF_23085
A0A4P6WVH1	HPF_07130
A0A4P6X5F5	HPF_20750
A0A4P6WRQ8	HPF_00060
A0A4V1AB49	HPF_03450
A0A4P6WXJ4	HPF_00130
A0A4P6X0J3	HPF_09895
A0A4V1ABL5	HPF_11840
A0A4P6X2G0	HPF_08960
A0A4P6X263	HPF_16120
A0A4P6WYB1	HPF_13375
A0A4P6WWH3	HPF_03865
A0A4P6WSP1	HPF_03745
A0A4P6X5Z9	HPF_20010
A0A4P6WWC8	HPF_09280
A0A4P6WS81	HPF_00825
A0A4P6WU66	HPF_06740
A0A4P6WZN2	HPF_18460
A0A4P6X3L4	HPF_11395
A0A4P6WYY9	HPF_02095
A0A4V1AC82	HPF_22895
A0A4P6WXQ6	HPF_00145
A0A4P6X2N6	HPF_09415
A0A4P6WVB5	HPF_06780
A0A4P6WV95	HPF_08850
A0A4P6X5W0	HPF_15515
A0A4P6X0Q9	HPF_18635
A0A4P6WYE0	HPF_13190
A0A4P6X5N2	HPF_20000
A0A4P6WU01	HPF_06370
A0A4P6WZL9	HPF_10715
A0A4P6WZX6	HPF_04860
A0A4P6WUS4	HPF_07900
A0A4P6X010	HPF_08930
A0A4P6X025	HPF_11620
A0A4P6WYW9	HPF_07870
A0A4P6X692	HPF_21280
A0A4P6X1L4	HPF_19970
A0A4P6X7R2	HPF_18770
A0A4V1ABV3	HPF_16340
A0A4P6WXQ0	HPF_06615
A0A4P6X2K0	HPF_13530
A0A4P6WVA2	HPF_07065
A0A4P6WTX0	HPF_04280
A0A4P6WTR0	HPF_03485
A0A4P6X2S6	HPF_22325
A0A4P6X6H3	HPF_23005
A0A4P6X4J7	HPF_17420
A0A4P6WZ77	HPF_15530
A0A4P6X414	HPF_19715
A0A4V1ABP6	HPF_13405
A0A4P6X5P5	HPF_19450
A0A4P6X3T8	HPF_12195
A0A4P6WWY2	HPF_03915
A0A4P6WV26	HPF_06605
A0A4P6WYW7	HPF_02685
A0A4P6WZP5	HPF_18560
A0A4P6WYG3	HPF_08135
A0A4P6WU94	HPF_00055
A0A4P6X5S8	HPF_15775
A0A4P6X456	HPF_12360
A0A4P6WSA0	HPF_00925
A0A4P6WU21	HPF_04140
A0A4P6X026	HPF_17315
A0A4P6WWJ1	HPF_09295
A0A4P6WYF0	HPF_13240
A0A4P6X0G5	HPF_12435
A0A4V1AC42	HPF_20840
A0A4V1AC32	HPF_20340
A0A4P6WUZ5	HPF_06010
A0A4P6WUP1	HPF_05410
A0A4P6X2S2	HPF_14235
A0A4P6WSY0	HPF_04355
A0A4P6WTQ8	HPF_05870
A0A4P6X943	HPF_21525
A0A4P6WZ19	HPF_15130
A0A4P6WXA3	HPF_10920
A0A4P6WXC8	HPF_11310
A0A4P6X324	HPF_10725
A0A4P6X127	HPF_19445
A0A4P6X2B2	HPF_22110
A0A4P6WYM4	HPF_08535
A0A4P6WX51	HPF_12850
A0A4P6WYD5	HPF_05700
A0A4P6WZI7	HPF_09015
A0A4P6X7C5	HPF_23310
A0A4P6X1B6	HPF_21835
A0A4V1AB82	HPF_05125
A0A4P6WZL5	HPF_18410
A0A4P6WWE9	HPF_02215
A0A4P6WX88	HPF_13050
A0A4V1ABB1	HPF_06585
A0A4P6WV16	HPF_01470
A0A4V1AC84	HPF_22995
A0A4P6X260	HPF_08845
A0A4P6WZV7	HPF_04755
A0A4P6X1F6	HPF_07000
A0A4P6WV50	HPF_00150
A0A4P6WYU8	HPF_02585
A0A4P6X737	HPF_17750
A0A4P6WQT6	HPF_00485
A0A4V1AB52	HPF_03600
A0A4P6WYZ5	HPF_17090
A0A4P6WVR2	HPF_09865
A0A4P6X5N1	HPF_19345
A0A4P6X1G6	HPF_14505
A0A4P6WUE6	HPF_00220
A0A4P6WRU9	HPF_02390
A0A4P6WZB4	HPF_08515
A0A4P6X1C6	HPF_11805
A0A4P6X4E7	HPF_18675
A0A4P6WYI5	HPF_13440
A0A4P6X1N5	HPF_07455
A0A4P6X640	HPF_15890
A0A4P6X8G1	HPF_20580
A0A4P6WVP0	HPF_07540
A0A4P6X830	HPF_19380
A0A4P6X3R4	HPF_17455
A0A4V1AB30	HPF_02495
A0A4P6X2W3	HPF_17425
A0A4P6X3S7	HPF_16010
A0A4P6WVJ9	HPF_02575
A0A4P6WX38	HPF_03525
A0A4P6X371	HPF_16555
A0A4P6X0L8	HPF_18385
A0A4P6WTM4	HPF_03285
A0A4P6WSH3	HPF_01360
A0A4P6X1X2	HPF_15490
A0A4V1AB90	HPF_05525
A0A4P6WTM1	HPF_05670
A0A4P6X2V6	HPF_15895
A0A4P6X8M1	HPF_20930
A0A4P6X503	HPF_21920
A0A4V1ABH0	HPF_09560
A0A4P6WSI6	HPF_01375
A0A4V1AB20	HPF_01990
A0A4P6X4F4	HPF_20670
A0A4P6X3C4	HPF_16805
A0A4P6WWT4	HPF_10140
A0A4P6X297	HPF_09045
A0A4P6X168	HPF_11505
A0A4P6X1S3	HPF_15190
A0A4P6X1Z6	HPF_14030
A0A4V1ABH6	HPF_09870
A0A4P6X2J2	HPF_21925
A0A4P6WY90	HPF_15305
A0A4P6X183	HPF_07035
A0A4P6WTG1	HPF_05320
A0A4P6X375	HPF_10590
A0A4P6WYR9	HPF_14445
A0A4P6X4Y9	HPF_13925
A0A4P6X3V3	HPF_16165
A0A4V1ABL3	HPF_11740
A0A4P6WUW8	HPF_06245
A0A4P6X288	HPF_08995
A0A4P6WVJ5	HPF_01050
A0A4P6X617	HPF_20805
A0A4P6WVZ2	HPF_01315
A0A4P6WVU6	HPF_01065
A0A4P6X0U3	HPF_10510
A0A4P6X515	HPF_18730
A0A4P6X3E1	HPF_15235
A0A4P6WUM1	HPF_07600
A0A4P6X1M2	HPF_14865
A0A4P6X5I3	HPF_19045
A0A4V1ABQ4	HPF_13820
A0A4P6X3L5	HPF_11780
A0A4P6WUF2	HPF_04905
A0A4P6WTE8	HPF_02880
A0A4P6X070	HPF_05415
A0A4P6WY06	HPF_01030
A0A4P6X581	HPF_14670
A0A4P6WWC1	HPF_09225
A0A4P6X6S1	HPF_17150
A0A4P6X208	HPF_20875
A0A4P6WUY3	HPF_01305
A0A4V1AB18	HPF_01890
A0A4P6WXP8	HPF_14065
A0A4P6X120	HPF_12105
A0A4P6X547	HPF_14225
A0A4P6WUX6	HPF_01255
A0A4V1ABZ2	HPF_18315
A0A4P6X3I3	HPF_11630
A0A4P6WVP6	HPF_09765
A0A4P6WY44	HPF_05200
A0A4P6X3Q6	HPF_16355
A0A4P6X6X4	HPF_21495
A0A4P6WZV8	HPF_18865
A0A4P6X7E1	HPF_22415
A0A4V1ABD3	HPF_07705
A0A4P6WVI4	HPF_02475
A0A4P6X9A3	HPF_21845
A0A4P6WZK2	HPF_08420
A0A4V1AAY3	HPF_00140
A0A4P6WVM8	HPF_09655
A0A4V1ABA3	HPF_06175
A0A4P6WXJ2	HPF_06205
A0A4P6WXM0	HPF_05385
A0A4P6WXS0	HPF_00580
A0A4P6X0P8	HPF_06365
A0A4P6WWQ6	HPF_02870
A0A4V1ABI6	HPF_10385
A0A4P6WWH9	HPF_02370
A0A4P6X705	HPF_22655
A0A4P6WY77	HPF_06600
A0A4P6X2X2	HPF_23265
A0A4P6WW09	HPF_01415
A0A4P6WWR6	HPF_03510
A0A4P6WU82	HPF_06840
A0A4P6X6R5	HPF_17100
A0A4P6WWN2	HPF_09545
A0A4P6WUC5	HPF_00205
A0A4P6X1I5	HPF_13065
A0A4P6X2B4	HPF_14740
A0A4P6WZE6	HPF_17990
A0A4P6WXS8	HPF_05785
A0A4P6X3S0	HPF_19100
A0A4P6X6N9	HPF_23355
A0A4V1AC20	HPF_19735
A0A4P6X0R1	HPF_18180
A0A4P6WZN1	HPF_16565
A0A4P6X8J0	HPF_20295
A0A4P6WZY0	HPF_19015
A0A4P6WVG0	HPF_07370
A0A4P6WTB4	HPF_03065
A0A4P6WWN6	HPF_02720
A0A4V1AB57	HPF_03850
A0A4P6WVT3	HPF_08075
A0A4P6X9N5	HPF_22545
A0A4P6X2R3	HPF_14185
A0A4P6X3E7	HPF_18345
A0A4P6X0H6	HPF_10185
A0A4P6X347	HPF_15000
A0A4P6X1L2	HPF_11865
A0A4P6WZI3	HPF_07980
A0A4P6X2E1	HPF_13230
A0A4P6X6H1	HPF_20615
A0A4P6WYF3	HPF_07010
A0A4P6X5W1	HPF_21750
A0A4P6X0Y5	HPF_05930
A0A4P6WTM9	HPF_05720
A0A4P6WX48	HPF_10855
A0A4P6WZ39	HPF_15280
A0A4P6WWM3	HPF_11885
A0A4P6X1B0	HPF_07185
A0A4P6WY36	HPF_12975
A0A4P6WVG4	HPF_07080
A0A4P6WRY5	HPF_00510
A0A4P6X7Q2	HPF_19110
A0A4V1ABE4	HPF_08255
A0A4P6WTD6	HPF_03170
A0A4P6X555	HPF_18935
A0A4P6X079	HPF_05465
A0A4P6WXT7	HPF_05835
A0A4P6X575	HPF_14380
A0A4P6X7C3	HPF_18405
A0A4P6WWL6	HPF_03210
A0A4P6WY39	HPF_06385
A0A4P6WTX4	HPF_03885
A0A4P6X1I2	HPF_19770
A0A4P6WVX6	HPF_01215
A0A4P6WYS8	HPF_01745
A0A4V1ABX1	HPF_17245
A0A4P6X5K1	HPF_15115
A0A4P6X4B5	HPF_17510
A0A4P6X662	HPF_16180
A0A4P6X4G6	HPF_17760
A0A4V1ABV1	HPF_16240
A0A4P6X1R9	HPF_20860
A0A4P6WVI9	HPF_02525
A0A4V1ABW7	HPF_17045
A0A4P6X587	HPF_14720
A0A4P6WXY8	HPF_06140
A0A4P6WY83	HPF_05400
A0A4P6WYV9	HPF_02635
A0A4P6X2L4	HPF_09265
A0A4P6X745	HPF_21865
A0A4P6X2I4	HPF_16825
A0A4P6X5R5	HPF_20205
A0A4P6X431	HPF_18005
A0A4P6WWT3	HPF_04745
A0A4P6X4U5	HPF_19595
A0A4P6X1G3	HPF_11665
A0A4P6X2N0	HPF_13985
A0A4P6X2Q6	HPF_10010
A0A4V1ABE6	HPF_08355
A0A4P6X0E1	HPF_10745
A0A4P6WWR8	HPF_02920
A0A4P6X0C6	HPF_09535
A0A4P6X1B4	HPF_12665
A0A4P6X0P5	HPF_10145
A0A4P6X946	HPF_21980
A0A4V1AC66	HPF_22090
A0A4P6X516	HPF_14075
A0A4P6WZN0	HPF_08230
A0A4P6X493	HPF_12560
A0A4P6X6X8	HPF_17450
A0A4P6X080	HPF_04415
A0A4P6WSD4	HPF_03195
A0A4P6X9V0	HPF_23285
A0A4P6X6M4	HPF_22005
A0A4P6X3M0	HPF_15710
A0A4P6WVD8	HPF_09100
A0A4P6WT08	HPF_04505
A0A4P6X4V8	HPF_13960
A0A4P6X393	HPF_16655
A0A4V1ABG9	HPF_09510
A0A4P6WXX7	HPF_06090
A0A4V1ABS7	HPF_14985
A0A4P6X9Y7	HPF_23050
A0A4P6X0Y9	HPF_11105
A0A4P6X219	HPF_23290
A0A4V1AC22	HPF_19835
A0A4P6X3A8	HPF_18125
A0A4P6WZT8	HPF_11120
A0A4P6WY28	HPF_05100
A0A4P6WS26	HPF_02740
A0A4P6X0E6	HPF_20030
A0A4P6WXM7	HPF_05435
A0A4P6WSV0	HPF_04150
A0A4P6X1K7	HPF_07695
A0A4P6WV37	HPF_01605
A0A4P6WZZ4	HPF_11420
A0A4P6WZR0	HPF_08380
A0A4P6WYK1	HPF_16035
A0A4P6WVU1	HPF_08125
A0A4P6X9W2	HPF_23385
A0A4P6X1Q2	HPF_20225
A0A4P6X5R7	HPF_21475
A0A4P6WXT4	HPF_12325
A0A4P6X1C2	HPF_20005
A0A4P6X672	HPF_16230
A0A4P6X1J2	HPF_07200
A0A4V1AC59	HPF_21740
A0A4P6X578	HPF_20350
A0A4P6WVE0	HPF_02220
A0A4P6WY26	HPF_12925
A0A4P6WWX6	HPF_04680
A0A4P6WYU2	HPF_14105
A0A4P6WQQ2	HPF_00285
A0A4P6WT78	HPF_04865
A0A4V1AC15	HPF_19475
A0A4P6X6Q2	HPF_21065
A0A4P6X170	HPF_19055
A0A4P6WWT9	HPF_03660
A0A4P6X4X4	HPF_14060
A0A4P6WX55	HPF_04370
A0A4P6X828	HPF_19875
A0A4P6WYJ5	HPF_01645
A0A4P6WUX9	HPF_05910
A0A4P6X3T3	HPF_19200
A0A4P6WW34	HPF_03630
A0A4P6WVL1	HPF_02205
A0A4P6X1X5	HPF_21210
A0A4P6X3C5	HPF_23230
A0A4P6WVW8	HPF_08275
A0A4P6WUA5	HPF_00105
A0A4P6X0D0	HPF_17865
A0A4P6WW02	HPF_03430
A0A4P6X1N1	HPF_13315
A0A4P6WZ35	HPF_03090
A0A4P6X468	HPF_17260
A0A4P6WZH9	HPF_18190
A0A4P6X6K1	HPF_16750
