A0A4P6X2R8	HPF_22965
P72887	slr0985
P74016	slr1331
P73544	sll1270
P74275	sll1561
P74044	sll0813
P72688	slr0743
P73608	slr1857
P73736	slr1744
P73405	sll1721
P73085	slr2043
P72903	slr1067
Q55683	sll0002
P73325	slr1897
P74492	sll1854
P74186	slr1274
P73218	slr1710
P73388	slr1828
Q55799	slr0079
P74349	sll1533
P73480	ssr2049
Q55389	sll0554
Q55155	slr0063
P73472	slr1227
P72900	slr1064
P72862	slr0969
P73496	slr1239
Q55763	slr0191
P73037	slr1761
P73518	sll1354
P73679	slr2143
P72719	sll0221
P73913	slr2088
P74663	sll1546
P74573	sll0626
P72932	ssr1789
P74036	slr0809
P74465	slr0163
Q55406	sll0541
P74013	sll1231
Q55507	sll0895
Q55745	sll0380
P72782	slr1784
Q55145	slr0056
Q55753	sll0374
P74586	slr1556
Q55902	slr0298
Q55808	slr0088
P75023	slr0257
P77970	slr0288
P73444	sll1457
P74665	sll1545
P74686	slr0451
Q55614	sll0764
P73501	slr1435
Q55174	slr0480
P73193	sll1283
P73078	slr2041
P73710	sll1689
P73468	slr1224
P72908	slr1072
Q55453	slr0036
P73449	sll1453
Q55440	sll0045
P73521	slr1448
P74176	sll1180
P73020	slr1055
P73362	slr1211
P73465	sll1143
P73906	slr2081
Q55562	sll0166
P73562	sll0873
P73029	sll1002
Q55822	slr0502
P72808	sll1662
Q55160	sll0053
Q55431	sll0823
P73547	slr1368
Q55981	sll0661
Q55552	slr0172
Q55420	slr0836
P73462	slr1219
P73159	slr1379
P73144	ssr1720
P73862	sll1594
P72658	sll1045
Q55444	sll0042
P72650	slr1125
P72573	ssr0102
Q55728	slr0646
P72694	slr0239
P72730	slr1416
P74216	sll1434
P72697	slr0242
Q55586	sll0337
Q55124	sll0404
P74777	ssr1425
Q55144	slr0055
P73581	slr0891
P73395	sll1732
P72927	sll1023
P73368	slr1216
P73874	slr0260
Q79EF3	sll1900
P73377	slr2074
P73823	slr1991
P73350	slr1200
P73965	slr1521
P73011	slr1047
P72956	slr0687
P73225	slr2007
P73650	slr1881
P74286	sll1557
P72951	sll0646
Q55841	slr0518
Q55869	sll0109
P73688	sll1704
P74449	slr0150
P74731	sll0574
P73806	sll1959
P73117	sll1833
P74159	sll1382
P73487	slr1237
Q55685	slr0216
P74136	sll1872
P74141	sll1869
P74677	sll0450
Q55528	slr0323
P73703	sll1695
P73119	sll1831
P73507	sll1360
P74017	slr1332
P72632	slr1118
Q55525	sll0306
P73682	slr1803
P72884	slr0982
P72610	slr1491
P73363	slr1212
Q55198	sll0681
P73567	slr0883
Q55536	slr0329
P73084	sll1937
P73273	sll1076
Q55879	sll0099
